10.1637,8.37995,8.3357,-4.00115,
20.2933,8.37134,8.3259,-3.98227,
30.3979,8.35918,8.30824,-3.92313,
40.4846,8.34909,8.29116,-3.8828,
50.5823,8.32717,8.24797,-3.82414,
60.6577,8.3087,8.20979,-3.7885,
70.7597,8.27009,8.12534,-3.73293,
80.4707,8.23814,8.05454,-3.69669,
90.5655,8.18023,7.92137,-3.64259,
100.676,8.13387,7.81266,-3.60603,
110.777,8.05263,7.61729,-3.55011,
120.864,7.97526,7.42978,-3.5,
130.96,7.88576,7.21251,-3.44604,
141.045,7.80047,7.00626,-3.40093,
151.13,7.70334,6.77061,-3.35677,
161.199,7.61373,6.55119,-3.3194,
171.268,7.54104,6.37146,-3.2917,
181.379,7.43407,6.10556,-3.25591,
191.454,7.34954,5.89592,-3.22924,
201.548,7.26498,5.68696,-3.20526,
211.643,7.18216,5.48403,-3.18462,
221.727,7.09812,5.28077,-3.16632,
231.796,7.02188,5.09799,-3.15176,
241.892,6.94501,4.9153,-3.13779,
251.99,6.87493,4.75016,-3.12558,
262.07,6.80373,4.58367,-3.11508,
272.164,6.73965,4.4352,-3.10586,
282.264,6.67593,4.28726,-3.0984,
292.337,6.61935,4.15671,-3.09146,
302.415,6.56453,4.03023,-3.08499,
312.502,6.51274,3.91027,-3.07953,
